product_name;parameter_name;value
AMD Ryzen 9 9950X3D 16-Core 4.3GHz AM5 Box (100-100000719WOF);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 9 9950X3D 16-Core 4.3GHz AM5 Box (100-100000719WOF);L2 Cache Size;16
AMD Ryzen 9 9950X3D 16-Core 4.3GHz AM5 Box (100-100000719WOF);L3 Cache Size;N/A
AMD Ryzen 9 9950X3D 16-Core 4.3GHz AM5 Box (100-100000719WOF);Thermal Design Power (TDP);N/A
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Core Count;8
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Thread Count;16
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Clock Speed;4200
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Turbo Clock Speed;5000
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);L2 Cache Size;8
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);L3 Cache Size;96
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Tray (100-000000910);Thermal Design Power (TDP);120
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Core Count;6
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Thread Count;12
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Clock Speed;3500
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Turbo Clock Speed;4400
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Integrated Graphics;No
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);L2 Cache Size;3
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);L3 Cache Size;N/A
AMD Ryzen 5 5600 6-Core 3.5GHz AM4 Box (100-100000927BOX);Thermal Design Power (TDP);N/A
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Core Count;8
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Thread Count;16
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Clock Speed;3400
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Turbo Clock Speed;4600
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Integrated Graphics;No
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);L2 Cache Size;4
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);L3 Cache Size;32
AMD Ryzen 7 5700X 8-Core 3.4GHz AM4 Tray (100-000000926);Thermal Design Power (TDP);65
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Core Count;6
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Thread Count;12
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Clock Speed;3600
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Turbo Clock Speed;4200
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Integrated Graphics;No
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);L2 Cache Size;3
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);L3 Cache Size;N/A
AMD Ryzen 5 5500 6-Core 3.6GHz AM4 Box (100-100000457BOX);Thermal Design Power (TDP);N/A
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Core Count;6
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Thread Count;12
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Clock Speed;2500
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Turbo Clock Speed;4400
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Integrated Graphics;No
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);L2 Cache Size;7.5
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);L3 Cache Size;N/A
Intel Core i5-12400F 6-Core 2.5GHz LGA1700 Box (BX8071512400F);Thermal Design Power (TDP);N/A
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Core Count;10
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Thread Count;16
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Clock Speed;1800
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Turbo Clock Speed;4700
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Integrated Graphics;No
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);L2 Cache Size;9.5
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);L3 Cache Size;N/A
Intel Core i5-14400F 10-Core 2.5GHz LGA1700 Box (BX8071514400F);Thermal Design Power (TDP);N/A
